Epoch	Train Loss	Test Loss
1	0.7312528192996979	0.7046680919105007
2	0.69896399974823	0.6746523399506846
3	0.6675628423690796	0.6475558398712066
4	0.6381444334983826	0.6230477274906251
5	0.6142995357513428	0.6010692903111058
6	0.593693733215332	0.5811441963718783
7	0.5685669779777527	0.5628452779304597
8	0.558385819196701	0.5459701204972882
9	0.542339414358139	0.530397160639686
10	0.5237030982971191	0.5159860615047717
11	0.5087821185588837	0.5026545984850775
12	0.4922934025526047	0.49021170216221965
13	0.48056839406490326	0.4784842462789628
14	0.4596100300550461	0.4674529059519691
15	0.45378319919109344	0.4571382422601023
16	0.45193302631378174	0.44750165698989747
17	0.43583235144615173	0.4384973503408893
18	0.42519308626651764	0.43002399922378604
19	0.41740782558918	0.42199111285228885
20	0.41583867371082306	0.41436071141112235
21	0.4078890532255173	0.40717692589086874
22	0.3992970287799835	0.400468330349653
23	0.3972621560096741	0.3941543986720423
24	0.39564284682273865	0.38819730486119947
25	0.37221577763557434	0.3825586850364362
26	0.3850630521774292	0.3771980701675338
27	0.3643382042646408	0.3721292310905072
28	0.37136779725551605	0.367322942181941
29	0.3786691427230835	0.36274885242023774
30	0.3585691452026367	0.35833160747443477
