Epoch	Train Loss	Test Loss
1	0.39217376201099136	0.28706164845899373
2	0.21401562122478363	0.17961767140556784
3	0.13542926771464456	0.12940870983009578
4	0.09925048144300651	0.09805429695534106
5	0.07747388008227302	0.08064148762897283
6	0.06402777112613153	0.06680184856307607
7	0.05209076847773273	0.06164250269281764
8	0.044245335138687364	0.05411235139775677
9	0.03813590523801816	0.054055851078083535
10	0.04058506963265479	0.0457451374371763
11	0.02988919878671982	0.05509005476008443
12	0.028809455430009356	0.03979855212343841
13	0.023766270428416815	0.03591948562935621
14	0.021390340317915108	0.04849415598045878
15	0.01946697444610082	0.0321266610300591
16	0.01894389410949405	0.031861733253888726
17	0.016192467703552874	0.03942516167499438
18	0.014906478863077723	0.03688278464021302
19	0.013800890783860178	0.0311146614947865
20	0.012808583107839827	0.03367438820042029
21	0.011817782533346073	0.028689614998004518
22	0.013768244837186153	0.024608238537584533
23	0.010231268369080648	0.029807843416616197
24	0.009520354502537914	0.025346856963421618
25	0.009121815374546304	0.023118108816194433
26	0.008454889291148765	0.025976830741249714
27	0.009097896990968196	0.04368470748495154
28	0.008067184851064654	0.02568732908762553
29	0.007119489926545375	0.026638851990187618
