Epoch	Train Loss	Test Loss
1	0.2863213480139772	0.16843432507945993
2	0.15404954968641202	0.13198169880667648
3	0.1319870175483326	0.11801759233582491
4	0.12195808488565187	0.10768963451271003
5	0.11641891643715402	0.10076761630884672
6	0.11308130308364829	0.09863379705002752
7	0.1106833390581111	0.09535675708436023
8	0.1090919317677617	0.09467791913256134
9	0.1079413710317264	0.0957523355376249
10	0.10705696853498618	0.09470949972332535
11	0.10634943048159282	0.0957242843331927
12	0.10572424695516626	0.09534240065742347
13	0.10526108879906436	0.0932632283975849
14	0.10477899862453341	0.09334838144102339
15	0.1043794418995579	0.09619209700721805
16	0.10401208161686858	0.09676550111949107
17	0.10369111793115734	0.09545305585962231
