Epoch	Train Loss	Test Loss
1	0.4372312317486682	0.3244669945402579
2	0.27100618027783685	0.23054354536262425
3	0.2011108640946594	0.1757550093938004
4	0.15518200757846334	0.139093049547889
5	0.12503452034167994	0.11806068975817073
6	0.10466557195763183	0.10467339137738402
7	0.08980803104007945	0.09468470920215953
8	0.07845348782009548	0.08380678448487412
9	0.06936841448342879	0.07115922368724238
10	0.06194331109815953	0.07252334989607334
11	0.05573021625381669	0.06949255099012093
12	0.050477279995391575	0.07520751561969519
13	0.045948771625952005	0.08710555799982765
14	0.041994257300507785	0.12142797034572471
15	0.0386034966099496	0.1629038183865222
