Epoch	Train Loss	Test Loss
1	0.5034669248049691	0.26821086555719376
2	0.2058559441126433	0.15238486882299185
3	0.14013921543455765	0.11135317385196686
4	0.11394161096955306	0.09161177510395646
5	0.10093099986946823	0.08061245549470186
6	0.09326393839296879	0.07342002913355827
7	0.08864777202174168	0.06990565406158566
8	0.08627929551489401	0.06792878522537649
9	0.08480447439739368	0.06677665864117444
10	0.08386026916887936	0.06609386228956282
11	0.0832362309898306	0.06573777552694082
12	0.08282868743142825	0.06551621435210109
13	0.08258057081659369	0.06545544834807515
14	0.08242897649339381	0.06536840205080807
15	0.08233983392683451	0.0653557984624058
16	0.08228539054425771	0.06537435250356793
17	0.08225167635703247	0.06536306603811681
18	0.08223360707895867	0.0654159695841372
19	0.0822252679991242	0.06545620365068316
