Epoch	Train Loss	Test Loss
1	0.43632773615610904	0.32574737071990967
2	0.2703966942544167	0.23753055523742328
3	0.19801704767040718	0.1878983981230042
4	0.15448027008619064	0.15701890296556734
5	0.1256530610128091	0.13717551021413368
6	0.1052567672270995	0.12270208566703579
7	0.09009673637457383	0.11615125174549493
8	0.07844035480266963	0.10910932601175526
9	0.06915324818916045	0.11630286344073036
10	0.06168895018979525	0.11557288925078782
11	0.0553941053027908	0.1344133915210312
12	0.050207238883162156	0.13029602356255054
