Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Train Loss 4	Test Loss 1	Test Loss 2	Test Loss 3	Test Loss 4	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.4581875449571854	0.45609525761573144	0.4712571092680389	0.3412032922108968	0.6903459470380436	0.6860750359158183	0.6810590763424718	0.6824441105127335	0.45043725	0.2935787437154681	0.8388279765965375	0.434935715490541	0.2830855039804	0.5039072058074618	0.3625162559734823
2	0.44940423315916306	0.44554827298993377	0.4587411822057238	0.33250775933265686	0.6779070144349878	0.6708410257516906	0.6628109604813331	0.6667072921991348	0.4182255	0.2985187545867793	0.9107174508313728	0.44964951923287294	0.3328405696723086	0.5318399662453386	0.40944119819174274
3	0.43490253656338423	0.4289865429494895	0.4408001934780794	0.32100971539815265	0.6575603132898157	0.6474537419718366	0.6376607321029486	0.6450561881065369	0.4012791	0.31984197326812547	0.920900481678326	0.4747844745205805	0.3846678373224581	0.546525491945657	0.45152982183315743
4	0.41613062815024304	0.409649881662107	0.4212970219406427	0.3088596562544505	0.6322232525457036	0.6207921602005182	0.61099047161812	0.6219904571771622	0.5003473	0.44830496266263675	0.5596585971929333	0.4978309464964239	0.4474326717887839	0.5609892432955409	0.49781725727668824
5	0.39697498083114624	0.3907557871996188	0.40259984778422936	0.2970942159493764	0.6067403175614097	0.5946453421614891	0.5856477299401927	0.5998469442129135	0.49983805	0.5073483919458839	0.5544471161120579	0.5298531603189548	0.507854758525543	0.5537973561730652	0.5298319829960488
6	0.37874563821615315	0.3726240351698757	0.384235438957713	0.2851528823375702	0.5826053443280134	0.569512429625489	0.5606149615243424	0.5778271853923798	0.53173745	0.6336035700176387	0.4922724824288139	0.5540673888756973	0.546949178966443	0.5475154788121195	0.5472321823813456
7	0.3603146548072497	0.35391441669339446	0.3657211895082511	0.2737891773382823	0.5577658333561637	0.5430208597072336	0.5346645158390666	0.555154025554657	0.43975508	0.4853238463663996	0.7593013373036562	0.5921574629957848	0.5993409961035723	0.5497297638470631	0.5734643952928273
8	0.3422679950793584	0.33652403152066895	0.34930387645765065	0.2641168038050334	0.5329396535049785	0.5181710768577664	0.5117734656777493	0.5348253399133682	0.48425817	0.6150942691424768	0.6264342921075134	0.6207124911918475	0.6448286050389854	0.559489996809562	0.5991357330563704
9	0.3264285377584971	0.3212873059160569	0.33491646113738516	0.2559778193632762	0.5113924944942648	0.49684464238410775	0.49212329332218613	0.5170079916715622	0.46638787	0.6271627829374576	0.6890135667108486	0.6566349047306717	0.6799369656172882	0.5823418333865072	0.6273665365485389
10	0.3123058644242776	0.30761771517641406	0.322052297249339	0.24886893729368845	0.4924878017468886	0.4779194773629654	0.47468821946964707	0.5010334923863411	0.47079948	0.6669703264244441	0.68683386636993	0.6767563736179012	0.6928011496994466	0.5977056513983888	0.6417496786818833
