Epoch	Train Loss	Test Loss
1	0.5779917795082619	0.4845786814888318
2	0.434570358744983	0.3933485945065816
3	0.3651816762726882	0.3396537701288859
4	0.31943903400980195	0.3007882634798686
5	0.28533576994106685	0.27011935661236447
6	0.2578581843910546	0.2467674526075522
7	0.23496263654067598	0.2259779510398706
8	0.2169311473081852	0.2097664810717106
9	0.20070841343238435	0.19302858163913092
10	0.18623844816766935	0.1797703467309475
11	0.17429942868906875	0.16828558469812074
12	0.1633446817768031	0.16104343657692274
13	0.15283355373760749	0.14759056891004244
14	0.14418718116036777	0.1410317669312159
15	0.13660306766115385	0.1334358168145021
16	0.13686956105561093	0.13189922831952572
17	0.1251019462943077	0.12170981802046299
18	0.1186325519249357	0.11883755214512348
19	0.11382116865495155	0.1092383296539386
20	0.10823503085251512	0.103715763737758
21	0.10380070630846353	0.09848238776127498
22	0.0996674145090169	0.09495985259612401
23	0.09650357864026365	0.09524415247142315
24	0.0936180314627187	0.09514038947721322
25	0.09008298017855348	0.09108561153213184
26	0.0872264386251055	0.08352522800366084
27	0.08461471107499353	0.08432601143916447
28	0.08201155400481717	0.08043565601110458
29	0.07973202472103053	0.07673737468818824
30	0.07702908253875272	0.0795166337241729
