Epoch	Train Loss 1	Test Loss 1	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.3729315547208334	0.6819604788765763	0.45079815	0.2944216010692417	0.8447929716984802	0.4366610211019879	0.2854070977287981	0.5121690569013324	0.3665522927888765
2	0.3647530960754074	0.6622938206701567	0.44170156	0.3106727908318532	0.8310230757724708	0.45226800892917646	0.3413439798176928	0.5456245606663087	0.4199600110337337
3	0.35197733914286927	0.6355110348174067	0.4024889	0.3228854388499284	0.9169876558580852	0.47760043014955705	0.39649365886770144	0.5636250292889128	0.46551275972189693
4	0.3373104665299942	0.6076243722980673	0.5112245	0.49084990142493995	0.5511888056262381	0.5192724014519389	0.45715334068309454	0.5838605337628753	0.5127958426966506
5	0.323062722731767	0.5816162300832344	0.511725	0.5505363526483998	0.557848953078081	0.5541685303289702	0.5205167977900064	0.5801357622163947	0.5487115920224385
6	0.3097417201076088	0.5570641060670217	0.51769996	0.6154095021673973	0.550960978954349	0.5814046690308272	0.56476915221156	0.5814287974642502	0.5729779033510716
7	0.2963835533451417	0.5312708101489327	0.5009233	0.6334852706097283	0.5996190495953159	0.6160871058054102	0.6310193133971477	0.6016962927801858	0.6160090448131188
8	0.28353733884106425	0.5076628591526638	0.48690593	0.6474344691907532	0.6569980831433336	0.6521812177381234	0.6690772238722554	0.624159051549351	0.6458380628539592
9	0.2722873331914688	0.48748888459169504	0.46571854	0.63803728209451	0.7166121525427099	0.6750458951716813	0.6904907389028282	0.6526689440687682	0.6710473328858881
10	0.26227932275626165	0.4696647265192234	0.46597165	0.6768828594047491	0.7255842867901168	0.7003879814428237	0.6938563308448213	0.6560076639681959	0.6744013803999649
11	0.25323693194137564	0.4536046665726286	0.44427603	0.6780268594334004	0.770588484507354	0.721350484449146	0.7082587040483967	0.6800332185986109	0.6938590339072018
12	0.24500443015632958	0.4390131171905633	0.4315012	0.6817258359644087	0.7885751192523481	0.7312680175927474	0.7376973312078984	0.6946128286734782	0.7155070798040447
13	0.23742286035598353	0.4256922029184573	0.47195056	0.7243042374014169	0.7613037910876973	0.7423432712535623	0.7649911154166947	0.702214976728824	0.732260070600651
14	0.23043990607277073	0.4134929868759531	0.48607475	0.7622224530891841	0.7453654348463272	0.7536997010163782	0.7702059780945403	0.718056063518249	0.743217333057103
15	0.2240380459497201	0.40229192556756915	0.50461274	0.797353615880965	0.7256206007188428	0.7597977739014079	0.7884942657516258	0.7304909902548978	0.7583851847430177
16	0.21807775421646133	0.39198674193837424	0.4877109	0.7856853619631566	0.7448570398441614	0.7647266384383905	0.7944923643629876	0.7312042995691612	0.7615356925535242
17	0.21253613482133069	0.382495010666775	0.46544927	0.7786156261193966	0.7545684219263502	0.7664034400005445	0.7946022133321431	0.7311563133062017	0.7615601220003392
18	0.20747625275418677	0.3737348291006955	0.450825	0.7713115025264397	0.766023737204744	0.7686585260578865	0.794657213067768	0.7311468025153448	0.761580221963448
19	0.20270524045516705	0.3656444472796989	0.43152124	0.7644135112732942	0.776638644418333	0.7704775869884918	0.7947128444975549	0.7311199993774755	0.7615912276455258
20	0.19830512072377163	0.3581634610891342	0.4159619	0.7532144012095071	0.7904241034566537	0.7713707788280673	0.7947396468723977	0.7311078947345668	0.7615969672501385
21	0.19419034756720066	0.3512411747466434	0.39727363	0.7460465810448869	0.7995717550262368	0.7718823725314997	0.7947371537434198	0.7311117855126446	0.7615979335016987
22	0.19042943385911398	0.3448278109232585	0.3899547	0.7413495628921933	0.8054312668114036	0.7720629918910497	0.7947304782532485	0.7311053008825149	0.7615913499589633
23	0.18684561004669503	0.33888341215523804	0.3844334	0.7408840933597248	0.8061631653987054	0.7721463743463952	0.7947293233082707	0.7311135147473459	0.761595276191231
24	0.18350142417154436	0.3333712276635748	0.38288873	0.7416150240048333	0.8055622563400229	0.7722671211146962	0.7947316110386635	0.7311070301172162	0.7615928083281376
25	0.18040879639186735	0.3282542370937087	0.3828372	0.7416612568306229	0.8055419378322832	0.7722828496002848	0.7947356944745986	0.7311035716478137	0.7615928068530522
26	0.1775148319530076	0.323503379343134	0.38284552	0.7416884264492811	0.8055332916587771	0.7722936054355227	0.7947406807969104	0.731095790091658	0.7615908742918389
27	0.17487879444299073	0.3190919574011456	0.38296643	0.7416928181686465	0.8055393439802314	0.772298767823741	0.7947412101297803	0.731091467004905	0.7615887717048114
28	0.17228394326079507	0.3149943615902554	0.382956	0.7417133103329404	0.8055125408423621	0.7722975578892307	0.794746317812244	0.7310875762268272	0.7615890058209326
29	0.16990605163676986	0.3111862901485328	0.3831262	0.7417478866611834	0.8054766592223113	0.7722998078367457	0.79474957046127	0.7310854146834507	0.7615893264304241
30	0.1676983276125172	0.30764933382019855	0.38290745	0.7416593964325969	0.8055812779217366	0.7722999198042144	0.7947557865262795	0.7310797946706715	0.761589131079468
