Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
21	0.25610973701484424	0.2043935117469012	0.19129845	0.12518124650019574	0.9998379199609583	0.22250457743325464	1.0	2.3747991068380557e-06	4.7495869343613015e-06
22	0.25614125424046885	0.20431003529675207	0.17569518	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9878493317132442	0.0004826779184648349	0.0009648843800291483
23	0.25596007569383983	0.20430492550473323	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
24	0.2557135753719088	0.20443746720912395	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
25	0.2554481857748549	0.20459466394907855	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
26	0.2551988159611201	0.20463795900683512	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
27	0.2549597148367605	0.2045909600066287	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
28	0.254720895388766	0.20450225852236345	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
29	0.25449127757542583	0.2044254924569811	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
30	0.2542810273326355	0.20435538327974545	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
31	0.25407083041722917	0.2043109198838666	0.1703467	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.9639230358097274	0.0007138250315304056	0.0014265936112573937
32	0.2538645517487494	0.20427977267120564	0.15766865	0.12518129003129436	0.9998373262611816	0.22250463149718444	0.7651863504356244	0.005005680717363482	0.009946294961871684
33	0.25365116607284655	0.20426795202271117	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
34	0.2534365638738542	0.2043715232451047	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
35	0.25321515724146726	0.20452185650053736	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
36	0.2529836028386892	0.20459299337409145	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
37	0.2527345583111014	0.20455042901751283	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
38	0.2524801169860484	0.20458918607902604	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
39	0.2521935685362805	0.2047215181148865	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
40	0.25185047350698164	0.20475160453903984	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
41	0.2514830725801809	0.20468027611541284	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
42	0.2511005050034437	0.20465109519079908	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
43	0.2507820781760328	0.204609372761923	0.14979996	0.1251812278183766	0.9998383157608094	0.22250455772279873	0.7533837130611324	0.005287490211374931	0.010501279054845578
