Epoch	Train Loss	Test Loss
1	0.43747254125773904	0.28597064529146465
2	0.1815386686163644	0.17565060992326056
3	0.09682244276627898	0.14894050093633787
4	0.06770256261030833	0.14614649622568063
5	0.05211295305440823	0.14159766185496533
6	0.041538141466056305	0.14101823419332504
7	0.03462424795919408	0.1480916142463684
8	0.028892317344434558	0.14852806659681456
9	0.025051746245784063	0.13925923513514654
10	0.02181740850986292	0.1403576655845557
11	0.019993680661233762	0.1571081613323518
12	0.017896348792904367	0.14887410142858112
13	0.015794748801272362	0.14888784043224795
