Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.5502189558285934	0.5431224749638484	0.5443337696050506	0.6863888925976224	0.6759050687154134	0.6615148242129836	0.41896996	0.298754341755188	0.9037875427661357	0.4490661920405614	0.3327460023298404	0.5266591790804103	0.4078256455046125
2	0.5210295292811516	0.5047411209879777	0.5005034169340445	0.6473619990878635	0.6265988283687167	0.6058541065038636	0.49831182	0.4521210196832868	0.5650888264635162	0.5023320161520436	0.45656454224807697	0.5578636515730416	0.5021563167677489
3	0.474929442581458	0.4588524200595342	0.4563983476239871	0.5925362679693434	0.5722161849339803	0.5535072199133939	0.5012886	0.5716007417397775	0.5492918351589728	0.5602242835386958	0.5674082371485816	0.5522786557966973	0.5597412285073647
4	0.4321283793602234	0.4153881860085023	0.41385988881385405	0.5418429878022936	0.5190693815549214	0.5015846775021664	0.475216	0.6190131672356213	0.6502514739564285	0.634247912264179	0.6686520950072332	0.5636868494294822	0.6116992317747947
5	0.3919045075010031	0.3785153300716327	0.3813219179514966	0.49468198153707715	0.4761902438269721	0.464081933332044	0.43191126	0.620909267998942	0.7702780868784807	0.6875749716996004	0.6999465415059865	0.6039576994607382	0.6484189400903159
6	0.3612611398865015	0.3500362877280284	0.35603470642582263	0.4597517397668627	0.4432803067896101	0.4350378208382185	0.41274756	0.6560919643372196	0.7965317604214491	0.7195229961409503	0.7545123544915722	0.6372234197172528	0.6909256076590505
7	0.33663740104589707	0.32681420139777356	0.33569023714346047	0.43164929813808867	0.4165046612421672	0.4117020403229913	0.4947462	0.7757606329090694	0.712714457526105	0.7429023464440366	0.784576172479416	0.6959802210134872	0.7376274221286624
8	0.3161520105906022	0.3074618916098888	0.3189932224797268	0.40840024683210585	0.3941945883962843	0.39254913635032124	0.46631065	0.7748633964296566	0.7363976236856735	0.7551409799059912	0.7903768941535337	0.7101737794413016	0.7481319438008542
9	0.29901673396428424	0.2909706013324933	0.3051430645331838	0.3888080530696445	0.37528957062297397	0.3766201831573664	0.43320358	0.7565616767540043	0.7775728634656803	0.7669233876942331	0.7920812707866037	0.7083511660661899	0.7478799817974432
10	0.28424046265009123	0.27693812931195283	0.2935502628485362	0.3720770233207279	0.35908282730314467	0.36323579175527704	0.42973053	0.7555268048838536	0.7836191325985815	0.7693165996545659	0.8095336169833778	0.6915879648723263	0.745927196614091
11	0.2715780849640186	0.2647991358087613	0.2837706554948894	0.35764837000105115	0.3450630095269945	0.35191270847653233	0.4057973	0.7495334552924464	0.7926336330961687	0.7704812666133959	0.8096529017509952	0.6976031077806051	0.7494630997166876
12	0.26068484286467236	0.25425059634905595	0.2754969511156768	0.3451256970564524	0.33286345932218764	0.3423150556032048	0.38448265	0.7383136478610789	0.8079684864268045	0.7715722083865287	0.807405828297453	0.7073322145184816	0.7540632589950271
13	0.25114198095905477	0.24506464314002258	0.26848916602290535	0.33418823414378696	0.3221948305765788	0.33413692199906636	0.398554	0.7460690500781165	0.7991407432769516	0.7716934979046607	0.8074071953976931	0.7073348083705335	0.7540653291621578
14	0.24275731505491796	0.2370400287401982	0.26254882629400766	0.3246152447329627	0.31284180018636915	0.3271539141965467	0.37114787	0.7338446408406482	0.8138820367963852	0.771793856899023	0.8074094543947219	0.7073378345312606	0.7540680339577571
15	0.23553762346124038	0.22990513946383428	0.25746245341363294	0.31620695259835985	0.3046153744061788	0.32118672340415244	0.37297538	0.7350509923501697	0.8124264534866127	0.7718042966680493	0.8074084126169515	0.7073421576180138	0.7540700361919255
16	0.2291571825551681	0.22377355893452963	0.2532121068706699	0.3088132043679555	0.2973759220706092	0.3161035533561263	0.37463394	0.735197295697227	0.8122617438813191	0.7718105904276481	0.8074076559661051	0.7073477776307928	0.7540728997202545
17	0.2234608616011265	0.2181989032870684	0.24951460451082466	0.3022905104690128	0.2909948686758677	0.31172421158746233	0.38926172	0.7413865158235607	0.8052618018106816	0.7720051607897683	0.799320242704775	0.7214470927673894	0.7583898625892588
18	0.21852683486082616	0.2134977510342231	0.24644598023953782	0.2965519739521874	0.2853724737962087	0.30799624046614005	0.38777044	0.7413840796570388	0.8052639633540583	0.772004833355541	0.7988899317671054	0.7230483641007418	0.7590794709996785
19	0.21425922444233528	0.20924062195878762	0.24382788936297098	0.29148877329296535	0.28040638698471915	0.3048149049282074	0.38646215	0.7412577312614514	0.8054035990561837	0.7720004798511219	0.7988720619448908	0.7230898657335716	0.7590942736539612
20	0.21040099104627585	0.20551288538636306	0.24159482910352595	0.287009326616923	0.2760193963845571	0.3020853060622548	0.38532922	0.7411614489173692	0.8055168639291153	0.7720002809095254	0.7948135170467339	0.7309501020680782	0.7615452539725042
21	0.20699331622857314	0.20224720812760866	0.23972508545015372	0.28306168582704333	0.2721550683180491	0.29973899417145305	0.38436714	0.7411794891174417	0.8054948161866743	0.771999941164857	0.7947944423788589	0.7309868483054797	0.7615564406673934
22	0.2041698877628033	0.19937915259446853	0.23812967071346208	0.2795937243435118	0.2687374194463094	0.29774310838344487	0.3835869	0.7412049496462407	0.8054680130488051	0.7720014410974217	0.7947895152943477	0.7310032760351415	0.7615630939405678
23	0.20154442743231088	0.196774596396165	0.23680094877878824	0.27651229600111643	0.2657196899255117	0.29601912720258844	0.3828454	0.7407708286242853	0.8061497638297707	0.7720787110346613	0.7947865634551814	0.7310084637392452	0.761564554080739
24	0.19930757200106597	0.19457186577029717	0.2356551491162356	0.27380667163266076	0.26305660406748455	0.2945460788039274	0.38227797	0.7364660643693044	0.8114170127297613	0.7721269167789209	0.7947858408227668	0.7310119222086477	0.7615660991529517
25	0.19722622671188453	0.19263282962716544	0.2347016386152093	0.2714131709602144	0.26070655948585936	0.29327607640000275	0.38173237	0.7412750950725294	0.8060153158317489	0.77229080677093	0.7947857688753607	0.7310149483693749	0.761567708328642
26	0.19555198162412032	0.1910370083955618	0.2339363618224275	0.2693003849850761	0.25862570305665333	0.29220902989077013	0.38134804	0.7414278918285945	0.8058285584840145	0.7722879670934525	0.7947824313151884	0.7310184068387774	0.7615680529136678
27	0.19396454172256666	0.18930374343807882	0.23324908179784912	0.26742194659180113	0.25678616066773735	0.2912534946619078	0.3809325	0.7413944168757683	0.8058700601168444	0.7722888648736435	0.7947755757366675	0.731026188394933	0.7615691283340958
28	0.1926072342082476	0.18814644886132997	0.23270941910400889	0.2657774825890859	0.2551630884408951	0.2904440698235534	0.3806031	0.7414295720782266	0.8058294231013652	0.7722892756797203	0.7947696604208467	0.7310348345684392	0.7615711044682013
29	0.19150987783303627	0.18689527687353966	0.2322208676852432	0.26431239744027457	0.2537186976936128	0.28975250554639237	0.3803242	0.7414621882702249	0.8057991614940934	0.7722930708231426	0.7947696254195283	0.7310430484332702	0.761575545576983
30	0.19029575433486548	0.18586276557583076	0.23183784823791653	0.2630169563823276	0.25244884623421565	0.2891441853933556	0.38006315	0.7414662496688336	0.8057926768639637	0.7722922955937056	0.794769167717884	0.7310443453592961	0.7615760392032703
