Epoch	Train Loss	Test Loss
1	0.6903152695068946	0.6873512519730463
2	0.6712148648041946	0.6043965882725186
3	0.5203968294155903	0.4608234941959381
4	0.42534068551583165	0.39483036994934084
5	0.3735207130129521	0.354105904367235
6	0.3396315289995609	0.32556831108199225
7	0.31502413807006985	0.3045586195256975
8	0.29681856509966725	0.2886475490199195
9	0.2828107745601581	0.2761782275305854
10	0.2715652890694447	0.2661538084348043
11	0.2625982190171878	0.25791510939598083
12	0.25522725828565085	0.2510513534148534
13	0.24881706138451895	0.2452538225385878
14	0.2435737838729834	0.24030717545085484
15	0.23901083931708947	0.23604847722583347
16	0.2348786641198855	0.23234774967034658
17	0.2316207783535505	0.22911491824520958
18	0.22866394857947642	0.22626777754889593
19	0.22596606430717003	0.22374251749780444
20	0.22358046137751678	0.22150389850139618
21	0.22153005443322352	0.2194634179274241
22	0.21956850062960234	0.21761914557880827
23	0.217977245648702	0.21600113643540275
24	0.21635397437673348	0.21451656288570828
25	0.21497710345265192	0.21301459504498377
26	0.21326135337734833	0.2114716327852673
27	0.2120832414008104	0.21031956772009533
28	0.21094174625781867	0.20934170318974388
29	0.21023781416125786	0.20848099754916297
30	0.20929265815096024	0.2077323880460527
